URI_Name;Provincia;Cantón;Parroquia;Latitud;Longitud;Nombre;Dirección;Tipo;Régimen Escolar;Modalidad;Jornada Laboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
ESCUELADEEDUCACIONBASICAGENERALMOISESOLIVA;Loja_Province;CALVAS;UTUANA;-4,362196707140;-79,724440858500;ESCUELA DE EDUCACION BASICA GENERAL MOISES OLIVA;   PARROQUIA UTUANA;FiscalHighSchool;Costa;Presencial;Matutina;12;5;17;4;89;107;196
ESCUELADEEDUCACIÓNBÁSICALAURODAMERVALAYORAN1;Loja_Province;LOJA;SANSEBASTIAN;-4,013392763880;-79,206247185700;ESCUELA DE EDUCACIÓN BÁSICA LAURO DAMERVAL AYORA N 1;AVENIDA BENJAMIN CARRION 21197 PABLO PALACIO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;41;15;56;2;510;687;1197
COLEGIODEBACHILLERATOMANUELJOSEJARAMILLO;Loja_Province;PALTAS;CASANGA;-4,013860840450;-79,764669716300;COLEGIO DE BACHILLERATO MANUEL  JOSE  JARAMILLO;   CENTRO PARROQUIA CASANGA - TRAS LA IGLESIA;FiscalHighSchool;Costa;Presencial;Matutina;4;5;9;4;58;49;107
COLEGIODEBACHILLERATOMACANDAMINE;Loja_Province;PALTAS;CASANGA;-4,015836873880;-79,726334799900;COLEGIO DE BACHILLERATO MACANDAMINE;   BARRIO MACANDAMINE;FiscalHighSchool;Costa;Presencial;Matutina;5;3;8;3;38;32;70
INSTITUTOTECNOLOGICOSUPERIORCARIAMANGA;Loja_Province;CALVAS;CARIAMANGA;-4,333292134730;-79,554744698000;INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA;JOSE ANGEL PALACIOS  GONZALEZ SUARES Y  MIGUEL PERALTA ;FiscalHighSchool;Costa;Presencial;Matutina;25;25;50;9;189;211;400
JOSEMARIAVELAZSJEXTENSIONN2CATAMAYO;Loja_Province;CATAMAYO;CATAMAYO;-3,990003605240;-79,359057729000;JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO;NUEVE DE OCTUBRE 00 BOLIVAR Y EUGENIO ESPEJO ;LaicHighSchool;Sierra;Distancia;Matutina,Vespertina;7;5;12;5;42;39;81
RAMONSAMANIEGOPALACIOS;Loja_Province;PUYANGO;ELARENAL;-3,961694590280;-79,986836296300;RAMON SAMANIEGO PALACIOS;   VIA PRINCIPAL DE EL ARENAL;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;3;64;64;128
UNIDADEDUCATIVAFISCOMISIONALDOMINGOCELI;Loja_Province;PALTAS;CATACOCHA;-4,049385996540;-79,649941486600;UNIDAD EDUCATIVA FISCOMISIONAL DOMINGO CELI;DOMINGO CELI 7302 PALTAS E INDEPENDENCIA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;34;8;42;3;479;373;852
TECNICOPUYANGO;Loja_Province;PUYANGO;ALAMOR;-4,016247769350;-80,023861815100;TECNICO PUYANGO;GABRIEL CAIZA  SUCRE ;FiscalHighSchool;Costa;Presencial;Matutina;12;19;31;6;169;189;358
U.E.ELOYALFARO;Loja_Province;CALVAS;SANVICENTE;-4,330880748470;-79,551767147900;U. E. ELOY ALFARO;   BARRIO SAN VICENTE;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;39;36;75;13;412;543;955
